Reference area,MEASURE,TIME_PERIOD,OBS_VALUE
Netherlands,ULCE,1997-Q1,0.9008022
Netherlands,ULCE,1997-Q2,0.7786547
Netherlands,ULCE,1997-Q3,0.7945441
Netherlands,ULCE,1997-Q4,0.5925505
Netherlands,ULCE,1998-Q1,0.9257245
Netherlands,ULCE,1998-Q2,0.8124274
Netherlands,ULCE,1998-Q3,2.071898
Netherlands,ULCE,1998-Q4,2.150175
Netherlands,ULCE,1999-Q1,1.974981
Netherlands,ULCE,1999-Q2,2.158821
Netherlands,ULCE,1999-Q3,1.423071
Netherlands,ULCE,1999-Q4,1.161042
Netherlands,ULCE,2000-Q1,3.243291
Netherlands,ULCE,2000-Q2,2.674304
Netherlands,ULCE,2000-Q3,3.21457
Netherlands,ULCE,2000-Q4,2.617228
Netherlands,ULCE,2001-Q1,1.643478
Netherlands,ULCE,2001-Q2,2.179087
Netherlands,ULCE,2001-Q3,3.022812
Netherlands,ULCE,2001-Q4,3.3652
Netherlands,ULCE,2002-Q1,5.255485
Netherlands,ULCE,2002-Q2,5.022066
Netherlands,ULCE,2002-Q3,4.08895
Netherlands,ULCE,2002-Q4,4.486902
Netherlands,ULCE,2003-Q1,1.751863
Netherlands,ULCE,2003-Q2,2.782168
Netherlands,ULCE,2003-Q3,2.473358
Netherlands,ULCE,2003-Q4,2.280415
Netherlands,ULCE,2004-Q1,1.137658
Netherlands,ULCE,2004-Q2,0.1763819
Netherlands,ULCE,2004-Q3,-0.23101
Netherlands,ULCE,2004-Q4,-0.3742083
Netherlands,ULCE,2005-Q1,-0.01616907
Netherlands,ULCE,2005-Q2,0.2475196
Netherlands,ULCE,2005-Q3,-0.01400714
Netherlands,ULCE,2005-Q4,-1.164428
Netherlands,ULCE,2006-Q1,-0.9141929
Netherlands,ULCE,2006-Q2,-0.8577966
Netherlands,ULCE,2006-Q3,-0.259938
Netherlands,ULCE,2006-Q4,1.80426
Netherlands,ULCE,2007-Q1,1.771559
Netherlands,ULCE,2007-Q2,1.988756
Netherlands,ULCE,2007-Q3,2.162136
Netherlands,ULCE,2007-Q4,2.052722
Netherlands,ULCE,2008-Q1,3.400422
Netherlands,ULCE,2008-Q2,2.942794
Netherlands,ULCE,2008-Q3,3.498824
Netherlands,ULCE,2008-Q4,3.926614
Netherlands,ULCE,2009-Q1,6.660297
Netherlands,ULCE,2009-Q2,6.97463
Netherlands,ULCE,2009-Q3,5.144639
